Sample,Long_Rx,Lat_Rx,h_tx,h_rx,delta_tx_rx,freq,Distance,avg_building_heigth,avg_vegetation_heigth,avg_ground_heigth,std_building,std_vegetation,std_ground,building_depth_2d,n_building,vegetation_depth_2d,n_intersection_veg,min_building,min_vegetation,min_ground,max_building,max_vegetation,max_ground,Pw,PL,RMS DS
13,-43.235329,-22.977806,3,3.5,0.5,735,80.570091,8.2593,12.102,17.45,9.1262,14.265,0.41886,1.1284,1,29.674,2,0,0,17,26,33,18.911,-12.729959,26.459959,2.4269147
14,-43.235329,-22.977806,3,3.5,0.5,735,80.570091,8.2593,12.102,17.45,9.1262,14.265,0.41886,1.1284,1,29.674,2,0,0,17,26,33,18.911,-13.065938,26.795938,2.2538064
16,-43.235329,-22.977806,3,3.5,0.5,735,80.570091,8.2593,12.102,17.45,9.1262,14.265,0.41886,1.1284,1,29.674,2,0,0,17,26,33,18.911,-13.729834,27.459834,2.6868143
17,-43.235329,-22.977806,3,3.5,0.5,735,80.570091,8.2593,12.102,17.45,9.1262,14.265,0.41886,1.1284,1,29.674,2,0,0,17,26,33,18.911,-15.498872,29.228872,1.459795
18,-43.235329,-22.977806,3,3.5,0.5,735,80.570091,8.2593,12.102,17.45,9.1262,14.265,0.41886,1.1284,1,29.674,2,0,0,17,26,33,18.911,-14.239628,27.969628,2.6995139
19,-43.23534,-22.977793,3,3.5,0.5,735,78.747673,8.5506,11.728,17.455,9.2693,14.246,0.42227,2.1128,1,26.812,2,0,0,17,26,33,18.911,-16.687609,30.417609,1.3956579
20,-43.23534,-22.977793,3,3.5,0.5,735,78.747673,8.5506,11.728,17.455,9.2693,14.246,0.42227,2.1128,1,26.812,2,0,0,17,26,33,18.911,-15.044246,28.774246,2.3005412
21,-43.235352,-22.977781,3,3.5,0.5,735,76.925484,8.3117,11.607,17.461,9.268,14.199,0.42541,2.1219,1,24.971,2,0,0,17,26,33,18.911,-19.042374,32.772374,0.9089247
22,-43.235367,-22.97777,3,3.5,0.5,735,75.103302,6.9934,11.237,17.47,9.0239,14.332,0.42889,1.1336,1,24.812,2,0,0,17,26,33,18.911,-23.578596,37.308596,0.90275931
23,-43.23539,-22.977745,3,3.5,0.5,735,71.45948,7.2361,10.608,17.488,9.2344,14.441,0.4318,2.1223,1,22.404,1,0,0,17,26,33,18.911,-21.491726,35.221726,0.088981919
24,-43.235401,-22.977734,3,3.5,0.5,735,69.637741,7.1929,10.646,17.498,9.2444,14.576,0.43196,2.1327,1,22.504,1,0,0,17,26,33,18.911,-14.298861,28.028861,0.7816866
25,-43.235401,-22.977734,3,3.5,0.5,735,69.637741,7.1929,10.646,17.498,9.2444,14.576,0.43196,2.1327,1,22.504,1,0,0,17,26,33,18.911,-15.399845,29.129845,0.81816703
26,-43.235413,-22.977722,3,3.5,0.5,735,67.816307,7.4044,10.901,17.511,9.2962,14.616,0.43005,2.1404,1,22.175,1,0,0,17.02,26,33,18.911,-14.452073,28.182073,2.2870786
27,-43.235413,-22.977722,3,3.5,0.5,735,67.816307,7.4044,10.901,17.511,9.2962,14.616,0.43005,2.1404,1,22.175,1,0,0,17.02,26,33,18.911,-20.347002,34.077002,0.83296442
28,-43.235424,-22.977709,3,3.5,0.5,735,65.994919,6.5985,11.239,17.524,9.1891,14.722,0.4294,2.1486,1,22.268,1,0,0,17.04,26,33,18.911,-21.084599,34.814599,1.1720856
29,-43.235439,-22.977697,3,3.5,0.5,735,64.173874,6.1538,11.846,17.536,9.0674,14.873,0.42686,2.0917,1,22.562,1,0,0,17.06,25.5,33,18.911,-23.579096,37.309096,2.5637672
30,-43.235439,-22.977697,3,3.5,0.5,735,64.173874,6.1538,11.846,17.536,9.0674,14.873,0.42686,2.0917,1,22.562,1,0,0,17.06,25.5,33,18.911,-22.30488,36.03488,0.14178291
31,-43.235439,-22.977697,3,3.5,0.5,735,64.173874,6.1538,11.846,17.536,9.0674,14.873,0.42686,2.0917,1,22.562,1,0,0,17.06,25.5,33,18.911,-28.887974,42.617974,1.16E-01
34,-43.235424,-22.977566,3,3.5,0.5,735,54.634502,14.009,6.95,17.691,10.264,12.038,0.3469,12.622,2,10.446,2,0,0,17.316,27,29,18.911,-31.736837,45.466837,0.21684933
36,-43.235401,-22.977552,3,3.5,0.5,735,55.774712,14.857,7.5312,17.708,10.8,12.583,0.3312,16.541,2,14.115,2,0,0,17.356,28,29,18.911,-38.945232,52.675232,0.088722125
147,-43.234215,-22.978729,3,3.5,0.5,735,233.37915,16.817,8.4402,17.747,12.305,13.884,0.41005,89.228,8,22.03,3,0,0,17,42,41,18.911,-40.867119,54.597119,1.3811131
148,-43.234238,-22.978745,3,3.5,0.5,735,233.00031,12.868,12.637,17.787,11.758,15.312,0.43761,74.914,10,30.18,6,0,0,17,41,41,18.911,-36.142117,49.872117,2.5758693
149,-43.234257,-22.978756,3,3.5,0.5,735,232.7404,9.6373,16.908,17.817,11.321,15.936,0.45956,46.111,13,70.102,9,0,0,17,34,41,18.911,-37.950306,51.680306,2.386045
150,-43.234272,-22.978769,3,3.5,0.5,735,232.50136,6.9946,20.29,17.846,9.8061,15.806,0.48116,16.848,5,106.47,9,0,0,17,31,40.5,18.911,-32.981113,46.711113,2.5983574
151,-43.234295,-22.978785,3,3.5,0.5,735,232.2151,6.4539,21.087,17.886,9.4254,15.795,0.51143,9.8378,5,98.103,9,0,0,17,34.5,40,18.911,-34.755447,48.485447,2.1518619
152,-43.234306,-22.978792,3,3.5,0.5,735,232.08595,6.6202,21.035,17.905,9.4997,15.892,0.5253,10.706,6,98.081,8,0,0,17,35,40,18.911,-37.166763,50.896763,2.1706676
153,-43.234306,-22.978792,3,3.5,0.5,735,232.08595,6.6202,21.035,17.905,9.4997,15.892,0.5253,10.706,6,98.081,8,0,0,17,35,40,18.911,-36.257656,49.987656,2.4746585
154,-43.234329,-22.978788,3,3.5,0.5,735,230.14156,6.2695,20.656,17.919,9.4259,15.973,0.54176,10.419,6,95.773,11,0,0,17,36,40,18.911,-36.295235,50.025235,2.1815333
155,-43.234329,-22.978788,3,3.5,0.5,735,230.14156,6.2695,20.656,17.919,9.4259,15.973,0.54176,10.419,6,95.773,11,0,0,17,36,40,18.911,-34.797314,48.527314,2.3999538
156,-43.234356,-22.978765,3,3.5,0.5,735,226.49237,6.2401,20.664,17.911,9.3551,15.905,0.54155,8.1237,6,94.033,12,0,0,17,36,40,18.911,-32.713928,46.443928,2.7420902
157,-43.234367,-22.978754,3,3.5,0.5,735,224.66779,6.3444,20.827,17.906,9.4587,15.861,0.5408,9.4271,5,92.98,12,0,0,17,36,40,18.911,-31.748758,45.478758,1.8879927
158,-43.23439,-22.978729,3,3.5,0.5,735,221.01859,6.4764,20.805,17.896,9.5959,15.87,0.54041,10.937,6,73.45,9,0,0,17,36,40,18.911,-31.847492,45.577492,2.1624026
159,-43.234406,-22.978718,3,3.5,0.5,735,219.19403,6.1239,20.664,17.89,9.2099,15.879,0.53967,6.5301,5,90.157,12,0,0,17,36,40,18.911,-32.939747,46.669747,2.5015633
160,-43.234406,-22.978718,3,3.5,0.5,735,219.19403,6.1239,20.664,17.89,9.2099,15.879,0.53967,6.5301,5,90.157,12,0,0,17,36,40,18.911,-32.703171,46.433171,2.4199317
161,-43.234406,-22.978718,3,3.5,0.5,735,219.19403,6.1239,20.664,17.89,9.2099,15.879,0.53967,6.5301,5,90.157,12,0,0,17,36,40,18.911,-31.386486,45.116486,2.3453164
162,-43.234406,-22.978718,3,3.5,0.5,735,219.19403,6.1239,20.664,17.89,9.2099,15.879,0.53967,6.5301,5,90.157,12,0,0,17,36,40,18.911,-31.541273,45.271273,1.8740802
163,-43.234417,-22.978704,3,3.5,0.5,735,217.36945,6.0241,20.841,17.886,9.0537,15.813,0.53877,5.527,5,90.048,12,0,0,17,36,40,18.911,-30.403784,44.133784,2.2871628
164,-43.23444,-22.978682,3,3.5,0.5,735,213.72035,6.3972,20.433,17.876,9.3537,15.884,0.53697,6.8494,5,66.908,7,0,0,17,34.5,40,18.911,-29.680187,43.410187,2.109499
165,-43.234451,-22.97867,3,3.5,0.5,735,211.8958,6.3396,20.759,17.871,9.2706,15.807,0.5353,6.7921,4,92.207,9,0,0,17,34.5,40,18.911,-29.672159,43.402159,2.3209851
166,-43.234489,-22.978634,3,3.5,0.5,735,206.42215,6.3394,20.506,17.853,9.151,15.88,0.53131,5.4289,5,90.279,14,0,0,17,33,40,18.911,-29.002281,42.732281,2.141839
167,-43.234489,-22.978634,3,3.5,0.5,735,206.42215,6.3394,20.506,17.853,9.151,15.88,0.53131,5.4289,5,90.279,14,0,0,17,33,40,18.911,-30.70248,44.43248,2.0992885
168,-43.234512,-22.978609,3,3.5,0.5,735,202.77313,6.3953,20.318,17.841,9.2467,15.85,0.5268,5.3019,4,84.614,9,0,0,17,34.5,40,18.911,-25.506027,39.236027,2.1906817
169,-43.234539,-22.978586,3,3.5,0.5,735,199.12411,6.2637,20.085,17.828,9.1403,15.856,0.52303,5.2568,4,74.942,9,0,0,17,36,40,18.911,-27.566824,41.296824,2.7260909
170,-43.23455,-22.978573,3,3.5,0.5,735,197.29958,6.0265,20.787,17.821,8.8419,15.686,0.52127,2.7286,3,95.109,7,0,0,17,33,40,18.911,-27.796316,41.526316,2.3118913
171,-43.23455,-22.978573,3,3.5,0.5,735,197.29958,6.0265,20.787,17.821,8.8419,15.686,0.52127,2.7286,3,95.109,7,0,0,17,33,40,18.911,-24.792669,38.522669,2.2303081
