image_id,Long_Rx,Lat_Rx,Decimal Hour Rx,Long_Tx,Lat_Tx,Decimal Hour Tx,Pw,PL,rms_delay_ns,mean_delay,rms_delay,d,dx,dy,relative speed,vx,vy
87.png,-43.31255068,-23.0094972,11.38926083,-43.3126442,-23.00986884,11.38924444,-53.8032588,70.8032588,71.947136,0.103992621,0.071947136,42.25884171,10.08519425,41.03776992,1.583993802,0.378024681,1.538224205
88.png,-43.31256868,-23.00955672,11.38951,-43.312655,-23.009907,11.38944444,-53.42437302,70.42437302,53.987591,0.136629413,0.053987591,39.78798893,9.347724378,38.67433402,2.476288797,0.581775199,2.406978153
89.png,-43.31259932,-23.00968844,11.3902625,-43.31269784,-23.01005856,11.39024444,-54.86455453,71.86455453,125.042061,0.146198124,0.125042061,42.21460577,10.596056,40.863144,1.677639794,0.421095137,1.6239317
90.png,-43.31265788,-23.00985472,11.39126417,-43.31274532,-23.01022684,11.39124444,-58.91348065,75.91348065,57.18018,0.104552589,0.05718018,42.17374821,9.463726198,41.09821072,0.026802773,0.006014502,0.026119235
91.png,-43.31268362,-23.00995526,11.39176278,-43.31276348,-23.0102924,11.39174444,-53.53090525,70.53090525,75.575117,0.111582744,0.075575117,38.22332214,8.686538271,37.22319718,1.973680165,0.448533705,1.922038217
92.png,-43.31270036,-23.01001628,11.39201639,-43.312775,-23.010332,11.39194444,-53.60155442,70.60155442,71.192864,0.09539645,0.071192864,35.79161869,8.151518438,34.85100738,2.430408101,0.553523902,2.366536462
93.png,-43.31271152,-23.01005696,11.39226583,-43.3127831,-23.01036116,11.39224444,-57.64175949,74.64175949,73.997291,0.087799608,0.073997291,34.47829383,7.837975659,33.57556973,2.980895972,0.677649253,2.902848994
94.png,-43.31272872,-23.01011476,11.39251972,-43.3127885,-23.0103806,11.39244444,-52.71991042,69.71991042,146.128929,0.175563332,0.146128929,30.07130455,6.629526931,29.33142905,4.416529863,0.973669221,4.307865397
95.png,-43.31275192,-23.01019996,11.393015,-43.3127968,-23.0104096,11.39294444,-54.70735097,71.70735097,65.336252,0.103010675,0.065336252,23.66789721,5.103391513,23.11113916,8.069344143,1.739952732,7.87952279
96.png,-43.31275896,-23.01023048,11.39326861,-43.31280139,-23.01042553,11.39324444,-58.39949995,75.39949995,66.071414,0.130161644,0.066071414,22.03424262,4.851984517,21.49339652,1.630275808,0.35899001,1.590259533
97.png,-43.31277336,-23.0102748,11.39352222,-43.31280445,-23.01043615,11.39344444,-56.13021295,73.13021295,68.841035,0.109665969,0.068841035,18.15058946,3.691982165,17.77113293,3.908153374,0.794951183,3.826449453
98.png,-43.31281232,-23.01033832,11.39402528,-43.3129022,-23.0103842,11.39394444,-52.1784296,69.1784296,95.835811,0.210626576,0.095835811,10.5220802,4.606947404,9.459926396,1.73283121,0.758696198,1.557910165
99.png,-43.31289056,-23.0103834,11.39477389,-43.313093,-23.01033496,11.39474444,-51.03477798,68.03477798,91.685778,0.153830599,0.091685778,21.43519389,5.781359988,20.64081912,3.61938955,0.976198024,3.485257255
100.png,-43.31292912,-23.01038592,11.3950275,-43.313129,-23.0103256,11.39494444,-46.96790555,63.96790555,168.035418,0.191506331,0.168035418,21.55202847,7.098566848,20.34945404,0.129467234,0.042642474,0.122243135
101.png,-43.312971,-23.010383,11.39528111,-43.31318168,-23.010312,11.39524444,-47.60581215,64.60581215,90.980011,0.127794518,0.090980011,22.98454231,8.282096156,21.44052398,1.301086466,0.46882479,1.213684188
102.png,-43.3130538,-23.0103686,11.39578528,-43.31327884,-23.01028712,11.39574444,-47.89817911,64.89817911,103.797522,0.122681351,0.103797522,24.77182613,9.443123549,22.9013272,3.469516424,1.322594147,3.207536273
103.png,-43.31318196,-23.0103408,11.3965375,-43.313428,-23.0102477,11.39644444,-49.46329889,66.46329889,73.154345,0.105554114,0.073154345,27.24863428,10.73089491,25.04667573,0.802629683,0.316086843,0.737769284
104.png,-43.3132364,-23.01033,11.39679139,-43.313455,-23.01024068,11.39674444,-45.97376233,62.97376233,91.973519,0.123018271,0.091973519,24.49573426,10.30701541,22.22175579,2.832618431,1.191874533,2.569661899
105.png,-43.31326976,-23.01032304,11.39704056,-43.313473,-23.010236,11.39694444,-48.799271,65.799271,120.362565,0.166559763,0.120362565,22.95680934,10.05100417,20.63958358,1.589004953,0.69570188,1.428613186
106.png,-43.313321,-23.0103146,11.39729417,-43.31350504,-23.01022628,11.39724444,-48.94718912,65.94718912,110.024783,0.15082976,0.110024783,21.25143174,10.1851058,18.65172836,3.607133183,1.728779197,3.16586991
107.png,-43.3133534,-23.01030956,11.39755222,-43.31353708,-23.01021656,11.39754444,-50.7819777,67.7819777,130.222368,0.269233268,0.130222368,21.46251061,10.7002749,18.60493157,0.088415478,0.044080114,0.076643592
108.png,-43.31342708,-23.01030084,11.39805528,-43.31355432,-23.01018116,11.39804444,-48.66995661,65.66995661,71.335487,0.114975342,0.071335487,18.5959755,12.69920159,13.58457154,3.314462016,2.263447879,2.421252187
109.png,-43.3134628,-23.0102944,11.39830889,-43.31354856,-23.01016028,11.39824444,-50.28672359,67.28672359,152.459791,0.130787226,0.152459791,17.25993166,8.365147585,15.09733576,1.344091462,0.651423405,1.175682528
110.png,-43.31348096,-23.01028728,11.39855389,-43.31353612,-23.01011604,11.39854444,-53.15520231,70.15520231,100.68121,0.115815226,0.10068121,19.78895218,5.169616575,19.10177198,3.040812457,0.794374272,2.935218887
111.png,-43.31352038,-23.01025956,11.39905306,-43.31351016,-23.010025,11.39904444,-46.54976233,63.54976233,107.127114,0.130690548,0.107127114,25.99726804,0.536155097,25.99173875,2.676286154,0.055194433,2.675716942
112.png,-43.3135438,-23.0102388,11.39931556,-43.31350008,-23.009989,11.39924444,-54.27419512,71.27419512,111.012152,0.145061289,0.111012152,28.02460757,3.978193329,27.74081122,0.794388484,0.112766288,0.786343963
113.png,-43.3135588,-23.0102214,11.39956528,-43.31348658,-23.0099404,11.39954444,-44.3358885,61.3358885,118.861061,0.186907477,0.118861061,31.98769245,6.908554788,31.23274466,3.091947356,0.667784578,3.018973702
114.png,-43.3135726,-23.0101882,11.39981472,-43.31347974,-23.0099152,11.39974444,-49.70797482,66.70797482,103.770397,0.129606863,0.103770397,31.6964529,9.036017917,30.38117026,0.017409677,0.004963147,0.016687242
115.png,-43.313568,-23.010124,11.40032694,-43.31346176,-23.00985,11.40024444,-44.0309569,61.0309569,153.808245,0.243160607,0.153808245,32.23926407,10.41519807,30.51055223,3.889372078,1.256498302,3.680818819
116.png,-43.31355396,-23.01008172,11.40058056,-43.31345042,-23.0098095,11.40054444,-43.76447071,60.76447071,193.362285,0.304294877,0.193362285,31.9608114,10.1372163,30.31056435,0.265140558,0.084096338,0.251450435
117.png,-43.3135446,-23.0100522,11.40083417,-43.3134398,-23.009774,11.40074444,-48.1878565,65.1878565,125.627678,0.137275239,0.125627678,32.62851935,10.26575305,30.97151255,0.672302236,0.211523197,0.638160038
118.png,-43.313521,-23.009975,11.40133333,-43.31342168,-23.00970916,11.40124444,-52.31857699,69.31857699,179.746358,0.187962094,0.179746358,31.15117709,9.703566852,29.6012943,5.176660431,1.612525601,4.919103008
119.png,-43.31350208,-23.0099264,11.40159111,-43.31341112,-23.00967156,11.40154444,-47.75874111,64.75874111,107.938582,0.138024336,0.107938582,29.72263274,8.843980694,28.3763793,1.418584774,0.42210044,1.354331562
120.png,-43.3134896,-23.009894,11.40184056,-43.31340356,-23.00964528,11.40174444,-52.32936908,69.32936908,116.655376,0.225346952,0.116655376,28.92208676,8.337951352,27.69414505,0.797598712,0.229939814,0.763735155
121.png,-43.31347256,-23.00984684,11.40209472,-43.31339312,-23.0096082,11.40204444,-51.95796302,68.95796302,72.576835,0.124792587,0.072576835,27.65429186,7.659459263,26.57240188,1.263516474,0.349958445,1.214085239
